time,topic,Indicator,Rating_kW,Next_time,Duration_hr,Consumption_MJ
2020-06-12 14:38:53.258796,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 14:39:22.046692,0.007996637777777779,1.3846977976
2020-06-12 14:39:22.046692,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:40:48.440422,0.02399825833333333,0.0
2020-06-12 14:42:14.852632,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:45:07.636912,0.047995633333333336,0.0
2020-06-12 14:45:07.636912,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 14:45:36.568307,0.008036498611111111,1.3916000995
2020-06-12 14:45:36.568307,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:47:02.858884,0.023969604722222208,0.0
2020-06-12 14:47:31.756803,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:48:00.431428,0.007965173611111112,0.0
2020-06-12 14:48:00.431428,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 14:48:29.229109,0.007999355833333334,0.7631385465000001
2020-06-12 14:48:29.229109,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:48:58.030527,0.008000393888888891,0.0
2020-06-12 14:49:26.827283,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:50:53.230168,0.02400080138888889,0.0
2020-06-12 14:51:22.029205,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:54:13.633120,0.04766775416666666,0.0
2020-06-12 14:54:42.431078,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:55:40.030634,0.01599987666666667,0.0
2020-06-12 14:56:37.916640,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:57:35.238296,0.015922682222222224,0.0
2020-06-12 14:57:35.238296,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 14:58:04.099290,0.00801694277777778,0.9726154978
2020-06-12 14:58:04.099290,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:58:32.837695,0.007982890277777778,0.0
2020-06-12 14:58:32.837695,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 14:59:01.734654,0.008026933055555557,0.9738275183
2020-06-12 14:59:01.734654,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:59:30.410871,0.007965615833333333,0.0
2020-06-12 14:59:30.410871,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 14:59:59.312638,0.008028268611111111,1.3901749927
